683	6.54	29.41	  D	     SUPERST_B-IVW360.AT2	     SUPERST_B-IVW360.AT2
685	6.93	62.31	  C	         LOMAP_A10000.AT1	         LOMAP_A10090.AT2
686	6.93	63.49	  E	         LOMAP_A02043.AT1	         LOMAP_A02133.AT2
690	6.93	61.49	  C	         LOMAP_A09227.AT2	         LOMAP_A09227.AT2
691	6.93	40.12	  D	         LOMAP_AGW090.AT2	         LOMAP_AGW090.AT2
692	6.93	90.77	  D	         LOMAP_NAS270.AT2	         LOMAP_NAS270.AT2
698	6.93	70.71	  D	         LOMAP_BVW220.AT1	         LOMAP_BVW310.AT2
711	6.93	54.99	  D	        LOMAP_DUMB267.AT1	        LOMAP_DUMB357.AT2
712	6.93	96.52	  D	         LOMAP_EMY260.AT1	         LOMAP_EMY350.AT2
713	6.93	64.02	  E	         LOMAP_A01090.AT2	         LOMAP_A01090.AT2
714	6.93	65.72	  E	         LOMAP_MEN360.AT2	         LOMAP_MEN360.AT2
725	6.93	100.19	  C	         LOMAP_GGB270.AT1	         LOMAP_GGB360.AT2
730	6.93	48.24	  C	         LOMAP_HSP000.AT1	         LOMAP_HSP090.AT2
731	6.93	47.90	  D	         LOMAP_HCH180.AT2	         LOMAP_HCH180.AT2
740	6.93	50.17	  D	         LOMAP_PAE055.AT2	         LOMAP_PAE055.AT2
747	6.93	99.16	  C	         LOMAP_CFH090.AT2	         LOMAP_CFH090.AT2
758	6.93	42.13	  D	         LOMAP_SVL360.AT2	         LOMAP_SVL360.AT2
760	6.93	97.43	  E	         LOMAP_TRI000.AT1	         LOMAP_TRI090.AT2
777	7.01	53.34	  D	      CAPEMEND_EUR090.AT2	      CAPEMEND_EUR090.AT2
778	7.01	29.55	  C	      CAPEMEND_FOR090.AT2	      CAPEMEND_FOR090.AT2
789	7.28	94.77	  C	       LANDERS_BRS090.AT2	       LANDERS_BRS090.AT2
813	7.28	59.68	  D	       LANDERS_IND090.AT2	       LANDERS_IND090.AT2
851	7.28	85.99	  D	       LANDERS_YER270.AT1	       LANDERS_YER360.AT2
994	6.69	21.55	  D	        NORTHR_WPI316.AT2	        NORTHR_WPI316.AT2
1002	6.69	25.65	  D	        NORTHR_PAR--T.AT2	        NORTHR_PAR--T.AT2
1049	6.90	38.79	  D	          KOBE_AMA000.AT1	          KOBE_AMA090.AT2
1052	6.90	43.58	  D	          KOBE_FKS000.AT1	          KOBE_FKS090.AT2
1056	6.90	25.40	  B	          KOBE_KBU000.AT1	          KOBE_KBU090.AT2
1058	6.90	52.21	  D	          KOBE_MRG000.AT1	          KOBE_MRG090.AT2
1062	6.90	19.25	  D	          KOBE_PRI000.AT1	          KOBE_PRI090.AT2
1069	6.90	55.81	  D	          KOBE_YAE000.AT1	          KOBE_YAE090.AT2
1092	7.51	112.26	  E	       KOCAELI_ATS090.AT2	       KOCAELI_ATS090.AT2
1100	7.51	95.02	  D	       KOCAELI_BUR090.AT2	       KOCAELI_BUR090.AT2
1111	7.51	39.82	  D	       KOCAELI_IZN090.AT2	       KOCAELI_IZN090.AT2
1120	7.51	19.30	  D	       KOCAELI_YPT060.AT1	       KOCAELI_YPT330.AT2
1122	7.62	37.83	  C	         CHICHI_ALS-E.AT1	         CHICHI_ALS-N.AT2
1138	7.62	32.15	  D	      CHICHI_CHY025-E.AT1	      CHICHI_CHY025-N.AT2
1142	7.62	39.70	  C	      CHICHI_CHY029-N.AT2	      CHICHI_CHY029-N.AT2
1147	7.62	44.02	  D	      CHICHI_CHY036-E.AT1	      CHICHI_CHY036-N.AT2
1188	7.62	31.96	  D	      CHICHI_CHY101-N.AT2	      CHICHI_CHY101-N.AT2
1417	7.62	106.20	  C	      CHICHI_TCU026-E.AT1	      CHICHI_TCU026-N.AT2
1434	7.62	39.58	  C	      CHICHI_TCU052-N.AT2	      CHICHI_TCU052-N.AT2
1439	7.62	41.79	  C	      CHICHI_TCU057-E.AT1	      CHICHI_TCU057-N.AT2
1440	7.62	53.38	  D	      CHICHI_TCU059-E.AT1	      CHICHI_TCU059-N.AT2
1443	7.62	35.46	  C	      CHICHI_TCU063-E.AT1	      CHICHI_TCU063-N.AT2
1447	7.62	47.86	  C	      CHICHI_TCU068-N.AT2	      CHICHI_TCU068-N.AT2
1471	7.62	45.56	  C	      CHICHI_TCU102-E.AT1	      CHICHI_TCU102-N.AT2
1475	7.62	37.65	  C	      CHICHI_TCU106-N.AT2	      CHICHI_TCU106-N.AT2
1476	7.62	37.73	  C	      CHICHI_TCU107-E.AT1	      CHICHI_TCU107-N.AT2
1477	7.62	36.36	  C	      CHICHI_TCU109-N.AT2	      CHICHI_TCU109-N.AT2
1478	7.62	28.38	  D	      CHICHI_TCU110-N.AT2	      CHICHI_TCU110-N.AT2
1483	7.62	24.41	  C	      CHICHI_TCU116-E.AT1	      CHICHI_TCU116-N.AT2
1487	7.62	25.57	  C	      CHICHI_TCU120-E.AT1	      CHICHI_TCU120-N.AT2
1536	7.62	31.96	  D	         CHICHI_WGK-N.AT2	         CHICHI_WGK-N.AT2
1573	7.37	77.84	  D	        MANJIL_184327.AT2	        MANJIL_184327.AT2
